GEOID,NAME,T2_EST1,T8_LE80,T8_LE50_CB_PCT,T8_LE80_CB_PCT,T8_LE30_CB_PCT,CB_RENT_LE80,CB_OWN_LE80,OWN_GAP_RATIO,AFF_DEFICIT,MED_HH_INC,POVERTY_PCT,UNEMP_PCT,CB_PCT,VACANCY_PCT,SFD_PCT,MED_HOME_VAL,HB_UNITS,OR_UNITS,TOTAL_UNITS,TOTAL_AMT_K,LOWMODPCT,LMI_ELIGIBLE,HAS_HOME_INVEST,HAS_HB_INVEST,NEED_SCORE,DISP_SCORE,INV_SCORE,LMI_SCORE
48439111505,Census Tract 1115.05,1795,765,82.98,58.82,98.25,269,180,0.6,0.63,76346.0,15.05,8.46,26.17,3.28,73.02,205000.0,7.0,1.0,8.0,87.74,32.9,False,True,True,66.4,57.42,44.11,45.16
48439106502,Census Tract 1065.02,1130,485,79.49,68.66,88.65,210,123,0.63,0.47,64318.0,10.73,10.47,30.21,16.02,73.81,156700.0,21.0,0.0,21.0,204.14,36.97,False,True,True,49.94,28.92,69.93,50.74
48439106503,Census Tract 1065.03,1975,1200,62.22,48.33,58.9,285,305,0.48,0.6,47120.0,13.61,1.13,40.76,8.9,69.74,147200.0,41.0,0.0,41.0,317.9,61.7,True,True,True,48.8,38.09,88.32,100.0
48439106507,Census Tract 1065.07,1100,530,86.21,65.09,65.38,280,69,0.8,0.78,57553.0,10.02,9.66,40.05,9.61,42.61,213100.0,5.0,0.0,5.0,50.0,32.7,False,True,True,44.53,57.34,38.59,44.88
48439114112,Census Tract 1141.12,1545,165,76.92,81.82,100.0,0,135,0.0,0.82,133642.0,6.26,1.78,18.65,3.98,100.0,289400.0,,,,,,False,False,False,43.12,47.4,,0.0
48439111538,Census Tract 1115.38,1910,515,100.0,85.44,100.0,370,70,0.84,0.72,80820.0,0.82,0.91,30.43,12.71,47.42,174700.0,1.0,0.0,1.0,5.0,27.59,False,True,True,56.59,53.07,24.46,37.87
48439111557,Census Tract 1115.57,790,500,95.0,55.0,71.43,140,140,0.5,0.45,52667.0,7.17,1.9,40.74,1.75,70.82,143300.0,,,,,,False,False,False,47.77,47.83,,0.0
48439113943,Census Tract 1139.43,1530,145,100.0,72.41,,45,50,0.47,0.59,103077.0,5.32,4.8,15.67,3.95,98.56,322000.0,,,,,,False,False,False,43.05,48.55,,0.0
48439113931,Census Tract 1139.31,3570,640,91.49,74.22,100.0,110,365,0.23,0.39,102405.0,2.64,6.86,25.84,5.18,80.75,243500.0,,,,,,False,False,False,58.13,29.96,,0.0
48439114012,Census Tract 1140.12,2895,535,87.8,57.94,60.0,85,220,0.28,0.15,93902.0,2.28,2.69,26.07,0.38,97.18,214800.0,,,,,,False,False,False,35.25,36.18,,0.0
